epoch,accuracy,loss,val_accuracy,val_loss
0,0.37088292837142944,1.3305970430374146,0.41786742210388184,1.284615159034729
1,0.6274564266204834,1.0107594728469849,0.6541786789894104,0.9258448481559753
2,0.796291172504425,0.5987758040428162,0.7118155360221863,0.7624685168266296
3,0.843620240688324,0.43089520931243896,0.7089337110519409,0.7817158699035645
4,0.8776639699935913,0.34550905227661133,0.6974063515663147,0.7941647171974182
5,0.8995294570922852,0.27716055512428284,0.6772334575653076,0.845230221748352
6,0.9189039468765259,0.23530930280685425,0.6945244669914246,0.8924427032470703
7,0.9385552406311035,0.19243575632572174,0.6714697480201721,0.9610880017280579
8,0.9463050365447998,0.1701299548149109,0.6714697480201721,1.0211577415466309
9,0.9554386734962463,0.14451085031032562,0.6541786789894104,1.0785118341445923
10,0.9604207277297974,0.1317359060049057,0.6858789920806885,1.1331137418746948
11,0.9667866230010986,0.11495061963796616,0.6945244669914246,1.1922917366027832
12,0.9706615209579468,0.10018909722566605,0.6628242135047913,1.2281819581985474
13,0.971491813659668,0.09976581484079361,0.6628242135047913,1.3124825954437256
14,0.9725989699363708,0.09040079265832901,0.6657060384750366,1.330277681350708
15,0.9761970639228821,0.08816389739513397,0.6628242135047913,1.3870010375976562
16,0.9731525182723999,0.08415970206260681,0.6743515729904175,1.3537956476211548
17,0.976473867893219,0.07452765107154846,0.6541786789894104,1.435722827911377
18,0.975089967250824,0.07573864609003067,0.6599423885345459,1.492164134979248
19,0.977027416229248,0.0758950263261795,0.6599423885345459,1.4727014303207397
20,0.976473867893219,0.06394020467996597,0.6685879230499268,1.5140405893325806
21,0.9786880612373352,0.06739643216133118,0.6657060384750366,1.5324174165725708
22,0.9761970639228821,0.06428241729736328,0.6628242135047913,1.5380629301071167
23,0.977027416229248,0.06255286931991577,0.6685879230499268,1.6224826574325562
24,0.976473867893219,0.062304917722940445,0.6599423885345459,1.625313401222229
